"","Date_time","Longitude_NTU","Latitude_NTU","Date","Time","Longitude","Latitude"
"184","2018-01-07 12:15:40","11619.89737","3959.55475","2018-01-07","12:15:40",116.341593611111,39.9987430555556
"187","2018-01-07 12:15:55","11619.90533","3959.54483","2018-01-07","12:15:55",116.341814722222,39.9984675
"188","2018-01-07 12:16:00","11619.90147","3959.54579","2018-01-07","12:16:00",116.3417075,39.9984941666667
"189","2018-01-07 12:16:05","11619.89931","3959.54403","2018-01-07","12:16:05",116.3416475,39.9984452777778
"190","2018-01-07 12:16:10","11619.90039","3959.53798","2018-01-07","12:16:10",116.3416775,39.9982772222222
"191","2018-01-07 12:16:15","11619.89951","3959.53265","2018-01-07","12:16:15",116.341653055556,39.9981291666667
"196","2018-01-07 12:16:40","11619.89123","3959.53611","2018-01-07","12:16:40",116.341423055556,39.9982252777778
"197","2018-01-07 12:16:45","11619.89069","3959.53664","2018-01-07","12:16:45",116.341408055556,39.99824
"198","2018-01-07 12:16:50","11619.89049","3959.53577","2018-01-07","12:16:50",116.3414025,39.9982158333333
"199","2018-01-07 12:16:55","11619.88177","3959.54076","2018-01-07","12:16:55",116.341160277778,39.9983544444444
"200","2018-01-07 12:17:00","11619.87734","3959.54758","2018-01-07","12:17:00",116.341037222222,39.9985438888889
"201","2018-01-07 12:17:05","11619.87989","3959.54693","2018-01-07","12:17:05",116.341108055556,39.9985258333333
"202","2018-01-07 12:17:10","11619.88363","3959.5427","2018-01-07","12:17:10",116.341211944444,39.9984083333333
"205","2018-01-07 12:17:25","11619.90153","3959.5392","2018-01-07","12:17:25",116.341709166667,39.9983111111111
"206","2018-01-07 12:17:30","11619.90145","3959.54148","2018-01-07","12:17:30",116.341706944444,39.9983744444444
"209","2018-01-07 12:17:45","11619.90137","3959.54132","2018-01-07","12:17:45",116.341704722222,39.99837
"210","2018-01-07 12:17:50","11619.90138","3959.54466","2018-01-07","12:17:50",116.341705,39.9984627777778
"216","2018-01-07 12:18:20","11619.88325","3959.56606","2018-01-07","12:18:20",116.341201388889,39.9990572222222
"217","2018-01-07 12:18:25","11619.88928","3959.55964","2018-01-07","12:18:25",116.341368888889,39.9988788888889
"218","2018-01-07 12:18:30","11619.89285","3959.55052","2018-01-07","12:18:30",116.341468055556,39.9986255555555
"219","2018-01-07 12:18:35","11619.89418","3959.54523","2018-01-07","12:18:35",116.341505,39.9984786111111
"220","2018-01-07 12:18:40","11619.89488","3959.53993","2018-01-07","12:18:40",116.341524444444,39.9983313888889
"221","2018-01-07 12:18:45","11619.89265","3959.53696","2018-01-07","12:18:45",116.3414625,39.9982488888889
"222","2018-01-07 12:18:50","11619.90029","3959.52893","2018-01-07","12:18:50",116.341674722222,39.9980258333333
"223","2018-01-07 12:18:55","11619.90486","3959.52576","2018-01-07","12:18:55",116.341801666667,39.9979377777778
"487","2018-01-07 12:40:55","11619.7361","4004.18248","2018-01-07","12:40:55",116.337113888889,40.0717355555556
"488","2018-01-07 12:41:00","11619.73852","4004.1807","2018-01-07","12:41:00",116.337181111111,40.0716861111111
"489","2018-01-07 12:41:05","11619.73871","4004.18003","2018-01-07","12:41:05",116.337186388889,40.0716675
"490","2018-01-07 12:41:10","11619.73848","4004.18055","2018-01-07","12:41:10",116.33718,40.0716819444444
"491","2018-01-07 12:41:15","11619.73885","4004.18015","2018-01-07","12:41:15",116.337190277778,40.0716708333333
"492","2018-01-07 12:41:20","11619.73929","4004.17989","2018-01-07","12:41:20",116.3372025,40.0716636111111
"493","2018-01-07 12:41:25","11619.73949","4004.17979","2018-01-07","12:41:25",116.337208055556,40.0716608333333
"494","2018-01-07 12:41:30","11619.73959","4004.17995","2018-01-07","12:41:30",116.337210833333,40.0716652777778
"495","2018-01-07 12:41:35","11619.73948","4004.18005","2018-01-07","12:41:35",116.337207777778,40.0716680555556
"496","2018-01-07 12:41:40","11619.73913","4004.1802","2018-01-07","12:41:40",116.337198055556,40.0716722222222
"497","2018-01-07 12:41:45","11619.73884","4004.18058","2018-01-07","12:41:45",116.33719,40.0716827777778
"498","2018-01-07 12:41:50","11619.73859","4004.18052","2018-01-07","12:41:50",116.337183055556,40.0716811111111
"499","2018-01-07 12:41:55","11619.73855","4004.18069","2018-01-07","12:41:55",116.337181944444,40.0716858333333
"500","2018-01-07 12:42:00","11619.73869","4004.18078","2018-01-07","12:42:00",116.337185833333,40.0716883333333
"501","2018-01-07 12:42:05","11619.73899","4004.18062","2018-01-07","12:42:05",116.337194166667,40.0716838888889
"502","2018-01-07 12:42:10","11619.73943","4004.18025","2018-01-07","12:42:10",116.337206388889,40.0716736111111
"503","2018-01-07 12:42:15","11619.73907","4004.18042","2018-01-07","12:42:15",116.337196388889,40.0716783333333
"504","2018-01-07 12:42:20","11619.73899","4004.18052","2018-01-07","12:42:20",116.337194166667,40.0716811111111
"505","2018-01-07 12:42:25","11619.7392","4004.18056","2018-01-07","12:42:25",116.3372,40.0716822222222
"506","2018-01-07 12:42:30","11619.73929","4004.18061","2018-01-07","12:42:30",116.3372025,40.0716836111111
"507","2018-01-07 12:42:35","11619.7394","4004.18088","2018-01-07","12:42:35",116.337205555556,40.0716911111111
"508","2018-01-07 12:42:40","11619.73909","4004.18134","2018-01-07","12:42:40",116.337196944444,40.0717038888889
"509","2018-01-07 12:42:45","11619.73849","4004.18198","2018-01-07","12:42:45",116.337180277778,40.0717216666667
"510","2018-01-07 12:42:50","11619.73834","4004.18202","2018-01-07","12:42:50",116.337176111111,40.0717227777778
"511","2018-01-07 12:42:55","11619.73816","4004.18211","2018-01-07","12:42:55",116.337171111111,40.0717252777778
"512","2018-01-07 12:43:00","11619.73795","4004.18228","2018-01-07","12:43:00",116.337165277778,40.07173
"513","2018-01-07 12:43:05","11619.73742","4004.18251","2018-01-07","12:43:05",116.337150555556,40.0717363888889
"514","2018-01-07 12:43:10","11619.73692","4004.18227","2018-01-07","12:43:10",116.337136666667,40.0717297222222
"515","2018-01-07 12:43:15","11619.73709","4004.18232","2018-01-07","12:43:15",116.337141388889,40.0717311111111
